Life expectancy,Adult Mortality,infant deaths,Income composition of resources,Schooling
49.6,46,110,,
49.2,457,114,,
79.3,13,23,,
79.1,14,23,,
78.9,16,23,,
78.8,16,24,,
78.7,16,25,,
78.7,15,25,,
78.5,18,26,,
78.2,18,27,,
78.1,11,27,,
77.8,113,28,,
77.5,112,28,,
77.5,111,28,,
77.2,114,28,,
77,115,28,,
76.9,115,28,,
76.8,114,28,,
77,116,0,0.794,15.5
76.8,117,0,0.791,15.5
76.8,117,0,0.788,15.5
76.5,118,0,0.784,15.5
77,111,0,0.78,15.5
76.3,118,0,0.777,15.6
76.6,118,0,0.774,15.5
76.4,119,1,0.77,15.7
75.4,124,1,0.76,15.3
76.2,117,1,0.756,15.2
75.7,123,1,0.753,15.5
75.4,122,1,0.75,15.5
75.4,121,1,0.747,15
75.4,124,1,0.746,14.7
75.2,123,1,0.742,14.2
75.1,131,1,0.738,14
69.4,184,15,0.697,12.1
69.2,184,16,0.69,12.1
69.1,185,17,0.681,12
68.8,184,18,0.673,12
68.5,183,19,0.664,12
68.3,183,20,0.657,11.9
68,183,21,0.651,11.8
67.9,184,22,0.644,11.9
67.8,184,22,0.631,11.8
67.6,185,23,0.626,11.8
67.3,192,24,0.62,11.7
67.8,183,24,0.613,11.6
67.2,183,25,0.607,11.3
67.1,186,27,0.6,11
67.4,185,28,0.594,10.7
67.1,189,30,0,10.6
72,13,0,0.598,10.8
71.7,134,0,0.596,10.8
71.6,135,0,0.591,10.8
71.4,138,0,0.592,10.8
71.2,141,0,0.591,10.8
71,145,0,0.59,10.8
78,149,0,0.589,10.7
75,153,0,0.582,10.7
73,157,0,0.579,10.7
71,161,0,0.572,10.6
69.9,165,0,0,10.6
69.6,169,0,0,10.7
69.4,173,0,0,10.4
69.3,176,0,0,10.2
69.1,179,0,0,10.1
69,18,0,0,9.6
74.1,157,9,0.769,14.3
73.9,158,9,0.771,14.2
73.8,159,9,0.77,14.2
73.7,161,9,0.767,14.1
73.8,158,9,0.756,14.1
73.7,158,9,0.754,14
73.6,166,9,0.754,14
73.2,168,9,0.745,13.4
73.4,165,9,0.728,12.9
73.6,163,9,0.714,12.4
73.6,158,9,0.7,11.8
73.3,161,10,0.687,11.6
72.4,172,10,0.688,11.6
73.1,167,10,0.684,11
72.5,169,10,0.672,10.4
72.5,168,11,0.67,10.6
76,127,28,0.678,12.6
75.9,128,28,0.675,12.5
75.7,129,28,0.668,12.3
75.6,13,29,0.662,12.2
75.4,131,29,0.655,12
75.2,133,29,0.647,11.9
75,134,29,0.641,11.7
74.9,135,28,0.633,11.6
74.7,136,28,0.625,11.4
74.6,136,28,0.618,11.3
74.4,136,29,0.609,11.1
74.2,136,29,0.601,11
74,137,30,0.592,10.9
73.8,137,30,0.584,10.7
73.6,138,32,0.576,10.6
73.4,139,33,0.569,10.4
65.7,224,37,0.499,9
65.4,228,37,0.5,9
65.4,226,36,0.498,9
64.7,236,36,0.494,9
64.6,234,35,0.493,8.6
64.4,233,35,0.488,8.5
64.1,235,36,0.483,8.4
63.8,238,37,0.48,8.5
63.4,24,38,0.477,8.6
63,242,39,0.475,8.7
62.6,245,40,0.47,8.6
62.2,247,42,0.464,8.4
61.9,249,43,0.457,8.2
61.5,25,45,0.45,8
61.1,251,46,0.444,7.9
68,252,48,0.436,7.7
61.8,33,27,0.576,12.5
61.1,314,28,0.57,12.5
63,328,29,0.565,12.5
59.2,349,29,0.554,12.3
58.2,366,29,0.543,12
58,363,30,0.533,11.8
57.4,368,30,0.518,11.6
55.7,45,31,0.504,11.4
52.6,487,32,0.492,11.1
58,526,33,0.479,10.9
49.3,554,34,0.467,10.7
47.9,578,36,0.456,10.5
46.4,64,39,0.443,10.2
45.5,69,41,0.433,10
44.6,611,43,0.424,9.8
43.8,614,44,0.418,9.6
67,336,22,0.507,10.3
59.2,371,23,0.498,10.3
58,399,25,0.488,10.4
56.6,429,26,0.464,9.8
54.9,464,28,0.452,10.1
52.4,527,29,0.436,10
50,587,30,0.419,9.9
48.2,632,30,0.421,9.7
46.6,67,29,0.414,9.6
45.4,7,28,0.408,9.5
44.6,717,28,0.406,9.3
44.3,723,27,0.407,9.2
44.5,715,26,0.418,9.5
44.8,73,25,0.427,10
45.3,686,25,0.427,9.8
46,665,24,0.434,9.8
